column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,RA,Decl,Gaia,DR3,ID,Teff,-,LIT,logg,-,LIT,vt,-,LIT,[Fe/H],-,LIT,eTeff,-,LIT,elogg,-,LIT,evt,-,LIT,e[Fe/H],-,LIT,REF,ATM,Teff,-,Gaia,logg,-,Gaia,eTeff,-,Gaia,elogg,-,Gaia,[Eu/Fe],[Fe/H],Se,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Os,Pt,Th,e[Fe/H],eSe,eSr,eY,eZr,eNb,eMo,eRu,eRh,ePd,eAg,eCd,eSn,eTe,eBa,eLa,eCe,ePr,eNd,eSm,eEu,eGd,eTb,eDy,eHo,eEr,eTm,eYb,eHf,eOs,ePt,eTh,r[Fe/H],rSe,rSr,rY,rZr,rNb,rMo,rRu,rRh,rPd,rAg,rCd,rSn,rTe,rBa,rLa,rCe,rPr,rNd,rSm,rEu,rGd,rTb,rDy,rHo,rEr,rTm,rYb,rHf,rOs,rPt,rTh
HE,2327-5642,23:30:37.09,-56:26:14.4,"6,49585037976707E+018",5050,2.34,1.80,-2.78,70,0.10,0.10,0.09,Ma10,5096,,92,,0.98,-2.79,,-0.01,-0.72,0.04,,-0.49,,,-0.71,,,,,-0.30,-1.10,-0.63,-1.15,-0.61,-0.92,-1.29,-0.72,-1.51,-0.60,-1.31,-0.80,-1.65,-1.03,-1.32,-0.17,,-1.67,0.10,,0.12,0.09,0.09,,0.32,,,0.32,,,,,0.08,0.07,0.09,0.09,0.10,0.11,0.07,0.10,0.08,0.09,0.13,0.12,0.10,0.09,0.17,0.23,,0.21,Ma10,,Ma10,Ma10,Ma10,,Ma10,,,Ma10,,,,,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,Ma10,,Ma10,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS,CS,22896-154,19:42:26.90,-56:58:34.1,"6,44844015993243E+018",5250,2.70,1.20,-2.70,100,0.10,0.20,0.10,Sp18,5142,2.38,91,0.09,0.96,-2.69,,0.74,-0.30,0.49,,-0.30,-0.05,,-0.50,-1.10,,,,-0.05,-1.10,-0.40,-1.25,-0.52,-0.90,-1.21,-0.70,,-0.58,-1.55,-0.75,,,,,,,0.10,,0.20,0.20,0.20,,0.20,0.20,,0.20,0.30,,,,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.20,,0.20,0.20,0.20,,,,,,,Sp18,,Sp18,Sp18,Sp18,,Sp18,Sp18,,Sp18,Sp18,,,,Fr07,Fr07,Fr07,Fr07,Fr07,Fr07,Sp18,Fr07,,Fr07,Fr07,Fr07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD,+17°3248,17:28:14.47,+17:30:35.8,"4,55318450940723E+018",5200,1.80,1.90,-2.00,150,0.30,0.20,0.20,Co02,5319,2.02,96,0.07,0.90,-2.10,,1.09,0.00,0.83,-0.22,0.14,0.34,-0.57,-0.05,-0.71,-0.99,,0.42,0.48,-0.42,-0.11,-0.71,-0.09,-0.34,-0.68,-0.14,-0.91,-0.04,-0.70,-0.25,-1.12,-0.27,-0.57,-0.11,0.50,-1.18,0.08,,0.10,0.05,0.14,0.20,0.10,0.14,0.14,0.09,0.15,0.16,,0.30,0.11,0.05,0.05,0.06,0.06,0.05,0.10,0.04,0.05,0.05,0.05,0.04,0.05,0.01,0.08,0.16,0.15,0.10,Co02,,R22b,R22b,R22b,R22b,R22b,Ro10,Ro10,Ro10,R22b,R22b,,R22b,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,R22b,R22b,De05,Co02,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,221170,23:29:28.81,+30:25:57.8,"2,86975978125008E+018",4510,1.00,1.80,-2.19,100,0.30,0.20,0.20,Iv06,4643,1.23,90,0.07,0.80,-2.20,,0.81,-0.16,0.73,-0.80,0.03,0.22,-0.35,-0.03,-0.52,,,,0.18,-0.73,-0.42,-1.00,-0.35,-0.66,-0.88,-0.46,-1.21,-0.29,-0.97,-0.47,-1.39,-0.48,-0.84,0.16,0.48,-1.46,0.12,,0.08,0.07,0.09,0.30,0.10,0.05,0.23,0.05,0.10,,,,0.11,0.06,0.04,0.07,0.08,0.07,0.07,0.14,0.08,0.06,0.07,0.08,0.06,0.10,0.11,0.10,0.15,0.05,Iv06,,Iv06,Iv06,Iv06,Iv06,Iv06,Iv06,Iv06,Iv06,Iv06,,,,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Iv06,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Iv06,Co05,Co05,Iv06,,,,,,,,,,,,,,,,,,,,,,,,,,
CD,-45°3283,07:34:18.60,-45:16:42.9,"5,51089381047623E+018",5657,4.97,0.80,-0.99,150,0.20,0.15,0.10,Ha12,5842,4.58,95,0.07,0.78,-0.99,,1.73,1.19,1.81,,,,,1.10,0.33,,,,1.51,,,,,,0.31,,,,,,,,,,,,0.10,,0.30,0.15,0.17,,,,,0.19,0.25,,,,0.15,,,,,,0.17,,,,,,,,,,,,Ha12,,Ha12,Ha12,Ha12,,,,,Ha12,Ha12,,,,Ha12,,,,,,Ha12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,20,00:05:15.32,-27:16:18.1,"2,33375686495994E+018",5246,2.37,1.95,-1.60,76,0.02,0.09,0.03,Ha20,5424,2.44,96,0.07,0.73,-1.60,,1.47,0.42,1.26,,0.48,0.55,-0.19,-0.12,-0.34,,,,0.93,-0.09,0.19,-0.35,0.21,-0.06,-0.35,0.04,-0.74,0.21,-0.49,-0.04,-0.87,-0.06,-0.23,0.40,,-0.85,0.04,,0.26,0.09,0.09,,0.11,0.11,0.40,0.21,0.21,,,,0.10,0.06,0.03,0.10,0.06,0.04,0.10,0.15,0.10,0.07,0.10,0.09,0.10,0.20,0.10,0.10,,0.10,Ha20,,Ha20,Ha20,Ha20,,Ha20,Ha20,Ha20,Ha20,Ha20,,,,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,Ha20,,Ha20,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,120559,13:51:40.40,-57:26:08.4,"5,87176483111418E+018",5411,4.75,0.70,-1.33,150,0.20,0.15,0.10,Ha12,5453,4.42,74,0.06,0.71,-1.31,,1.78,1.09,1.69,,,,,0.70,0.11,,,,1.09,,,,,,-0.08,,,,,,,,,,,,0.10,,0.12,0.15,0.17,,,,,0.21,0.25,,,,0.17,,,,,,0.17,,,,,,,,,,,,Ha12,,Ha12,Ha12,Ha12,,,,,Ha12,Ha12,,,,Ha12,,,,,,Ha12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,3567,00:38:31.95,-08:18:33.4,"2,42706987418858E+018",6035,4.08,1.50,-1.33,150,0.20,0.15,0.10,Ha12,6202,4.04,101,0.07,0.70,-1.33,,1.44,0.64,1.60,,,,,0.53,0.14,,,,1.11,,,,,,-0.11,,,,,,,,,,,,0.10,,0.20,0.19,0.17,,,,,0.20,0.25,,,,0.14,,,,,,0.18,,,,,,,,,,,,Ha12,,Ha12,Ha12,Ha12,,,,,Ha12,Ha12,,,,Ha12,,,,,,Ha12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS,BS,17569-049,22:04:58.36,+04:01:32.1,"2,68399928030594E+018",4700,1.20,1.90,-2.90,100,0.10,0.20,0.10,Sp18,4761,,90,,0.70,-2.88,,0.35,-0.60,-0.01,,-0.50,-0.40,,-0.60,-1.70,,,,-0.55,-1.33,-1.07,-1.42,-0.95,-0.98,-1.66,-1.14,,-1.15,-1.90,-1.40,,-1.20,,,,,0.10,,0.20,0.20,0.20,,0.20,0.20,,0.20,0.30,,,,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.20,,0.20,0.20,0.20,0.20,0.20,,,,,Sp18,,Sp18,Sp18,Sp18,,Sp18,Sp18,,Sp18,Sp18,,,,Fr07,Fr07,Fr07,Fr07,Fr07,Fr07,Sp18,Fr07,,Fr07,Fr07,Fr07,,Fr07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS,J18301354-4555101,18:30:13.54,-45:55:10.1,"6,70853220816598E+018",4765,1.20,1.95,-3.57,100,0.20,0.20,0.10,Pl20,4990,1.73,92,0.08,0.69,-3.57,,-1.26,-1.64,-1.09,,,-1.20,,-1.43,,,,,-1.04,-2.13,-1.57,-2.36,-1.91,-2.16,-2.36,-2.00,,-1.95,-2.60,-2.15,-2.85,-2.46,,,,,0.10,,0.20,0.20,0.25,,,0.25,,0.25,,,,,0.15,0.20,0.20,0.30,0.20,0.30,0.20,0.25,,0.20,0.20,0.20,0.25,0.25,,,,,Pl20,,Pl20,Pl20,Pl20,,,Pl20,,Pl20,,,,,Pl20,Pl20,Pl20,Pl20,Pl20,Pl20,Pl20,Pl20,,Pl20,Pl20,Pl20,Pl20,Pl20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
